Date,spy
2016-01-04,174.043212890625
2016-01-05,174.3375701904297
2016-01-06,172.13844299316406
2016-01-07,168.00857543945312
2016-01-08,166.1644287109375
2016-01-11,166.32896423339844
2016-01-12,167.6709442138672
2016-01-13,163.48910522460938
2016-01-14,166.17306518554688
2016-01-15,162.60597229003906
2016-01-19,162.82241821289062
2016-01-20,160.73587036132812
2016-01-21,161.63624572753906
2016-01-22,164.9523162841797
2016-01-25,162.45877075195312
2016-01-26,164.67527770996094
2016-01-27,162.88308715820312
2016-01-28,163.7314910888672
2016-01-29,167.72286987304688
2016-02-01,167.66229248046875
2016-02-02,164.640625
2016-02-03,165.6276397705078
2016-02-04,165.88739013671875
2016-02-05,162.72718811035156
2016-02-08,160.53671264648438
2016-02-09,160.54537963867188
2016-02-10,160.4068145751953
2016-02-11,158.3202667236328
2016-02-12,161.5843505859375
2016-02-16,164.31161499023438
2016-02-17,166.99557495117188
2016-02-18,166.3115692138672
2016-02-19,166.23365783691406
2016-02-22,168.64059448242188
2016-02-23,166.5106964111328
2016-02-24,167.2726287841797
2016-02-25,169.29859924316406
2016-02-26,168.90899658203125
2016-02-29,167.58433532714844
2016-03-01,171.52374267578125
2016-03-02,172.2942657470703
2016-03-03,172.96958923339844
2016-03-04,173.5323486328125
2016-03-07,173.67091369628906
2016-03-08,171.77479553222656
2016-03-09,172.623291015625
2016-03-10,172.7617950439453
2016-03-11,175.54969787597656
2016-03-14,175.32456970214844
2016-03-15,175.03884887695312
2016-03-16,176.0518798828125
2016-03-17,177.168701171875
2016-03-18,177.86492919921875
2016-03-21,178.11732482910156
2016-03-22,178.02162170410156
2016-03-23,176.84677124023438
2016-03-24,176.76844787597656
2016-03-28,176.8728790283203
2016-03-29,178.50894165039062
2016-03-30,179.2921905517578
2016-03-31,178.85704040527344
2016-04-01,180.07542419433594
2016-04-04,179.49227905273438
2016-04-05,177.69960021972656
2016-04-06,179.64027404785156
2016-04-07,177.49070739746094
2016-04-08,177.9693603515625
2016-04-11,177.55166625976562
2016-04-12,179.20513916015625
2016-04-13,181.0153045654297
2016-04-14,181.02401733398438
2016-04-15,180.8238067626953
2016-04-18,182.0944366455078
2016-04-19,182.66879272460938
2016-04-20,182.84291076660156
2016-04-21,181.8594512939453
2016-04-22,181.8594512939453
2016-04-25,181.54615783691406
2016-04-26,181.81594848632812
2016-04-27,182.19015502929688
2016-04-28,180.53668212890625
2016-04-29,179.5619354248047
2016-05-02,180.98924255371094
2016-05-03,179.41403198242188
2016-05-04,178.41323852539062
2016-05-05,178.37841796875
2016-05-06,179.03109741210938
2016-05-09,179.1790008544922
2016-05-10,181.40692138671875
2016-05-11,179.70989990234375
2016-05-12,179.7621612548828
2016-05-13,178.1956787109375
2016-05-16,179.95358276367188
2016-05-17,178.2739715576172
2016-05-18,178.32620239257812
2016-05-19,177.70831298828125
2016-05-20,178.8309783935547
2016-05-23,178.58729553222656
2016-05-24,180.90220642089844
2016-05-25,182.12925720214844
2016-05-26,182.18145751953125
2016-05-27,182.96473693847656
2016-05-31,182.61659240722656
2016-06-01,182.99082946777344
2016-06-02,183.5477752685547
2016-06-03,182.99954223632812
2016-06-06,183.93069458007812
2016-06-07,184.21786499023438
2016-06-08,184.8184051513672
2016-06-09,184.56600952148438
2016-06-10,182.8167724609375
2016-06-13,181.40692138671875
2016-06-14,181.0501251220703
2016-06-15,180.79771423339844
2016-06-16,181.33731079101562
2016-06-17,180.66197204589844
2016-06-20,181.82546997070312
2016-06-21,182.34158325195312
2016-06-22,182.0441436767578
2016-06-23,184.41481018066406
2016-06-24,177.79266357421875
2016-06-27,174.6084442138672
2016-06-28,177.75770568847656
2016-06-29,180.7844696044922
2016-06-30,183.2513427734375
2016-07-01,183.63629150390625
2016-07-05,182.31533813476562
2016-07-06,183.40879821777344
2016-07-07,183.2950897216797
2016-07-08,186.02447509765625
2016-07-11,186.68055725097656
2016-07-12,188.03646850585938
2016-07-13,188.01023864746094
2016-07-14,189.0599365234375
2016-07-15,188.80628967285156
2016-07-18,189.31365966796875
2016-07-19,189.12123107910156
2016-07-20,189.90855407714844
2016-07-21,189.19117736816406
2016-07-22,190.03977966308594
2016-07-25,189.5236358642578
2016-07-26,189.61111450195312
2016-07-27,189.40985107421875
2016-07-28,189.62860107421875
2016-07-29,189.9347686767578
2016-08-01,189.7772674560547
2016-08-02,188.5613555908203
2016-08-03,189.11244201660156
2016-08-04,189.31365966796875
2016-08-05,190.86203002929688
2016-08-08,190.7483367919922
2016-08-09,190.86203002929688
2016-08-10,190.3896484375
2016-08-11,191.27322387695312
2016-08-12,191.1070098876953
2016-08-15,191.65811157226562
2016-08-16,190.6696014404297
2016-08-17,191.02822875976562
2016-08-18,191.45689392089844
2016-08-19,191.17698669433594
2016-08-22,191.16819763183594
2016-08-23,191.5531463623047
2016-08-24,190.57333374023438
2016-08-25,190.44212341308594
2016-08-26,190.08348083496094
2016-08-29,191.01954650878906
2016-08-30,190.70455932617188
2016-08-31,190.16220092773438
2016-09-01,190.17095947265625
2016-09-02,191.02822875976562
2016-09-06,191.6056365966797
2016-09-07,191.588134765625
2016-09-08,191.1507110595703
2016-09-09,186.5755615234375
2016-09-12,189.25245666503906
2016-09-13,186.5318145751953
2016-09-14,186.4618682861328
2016-09-15,188.3251495361328
2016-09-16,187.59713745117188
2016-09-19,187.63232421875
2016-09-20,187.64111328125
2016-09-21,189.751220703125
2016-09-22,190.94699096679688
2016-09-23,189.90072631835938
2016-09-26,188.3621063232422
2016-09-27,189.53143310546875
2016-09-28,190.47215270996094
